Nose_x,Nose_y,LeftEye_x,LeftEye_y,RightEye_x,RightEye_y,LeftEar_x,LeftEar_y,RightEar_x,RightEar_y,LeftShoulder_x,LeftShoulder_y,RightShoulder_x,RightShoulder_y,LeftElbow_x,LeftElbow_y,RightElbow_x,RightElbow_y,LeftWrist_x,LeftWrist_y,RightWrist_x,RightWrist_y,LeftHip_x,LeftHip_y,RightHip_x,RightHip_y,LeftKnee_x,LeftKnee_y,RightKnee_x,RightKnee_y,LeftAnkle_x,LeftAnkle_y,RightAnkle_x,RightAnkle_y,IsArmStretch,IsLegStretch,IsLegClose,IsKneeStop,IsChinOver,PullUpCount,TryCount
311.14584,270.97916,326.97916,263.0625,307.1875,263.0625,346.77084,286.8125,299.27084,290.77084,382.39584,342.22916,271.5625,342.22916,441.77084,385.77084,200.3125,381.8125,449.6875,306.60416,208.22917,302.64584,362.60416,484.72916,291.35416,484.72916,362.60416,658.8958,295.3125,654.9375,350.72916,789.5208,295.3125,793.4792,0.0,1.0,1.0,1.0,1.0,0.0,1
315.0879,268.01364,326.98242,260.08395,307.1582,260.08395,346.80664,283.87302,291.29883,287.83786,378.5254,339.38083,271.4746,339.38083,441.9629,386.95895,200.1074,379.02927,449.89258,307.66208,208.0371,303.69724,362.66602,482.11523,291.29883,482.11523,362.66602,656.56836,295.26367,652.6035,350.77148,791.37305,295.26367,791.37305,0.0,1.0,1.0,1.0,1.0,0.0,1
314.57162,267.0482,326.4857,259.10547,306.6289,259.10547,346.34244,278.96225,290.7435,282.9336,378.11328,338.53256,270.88672,338.53256,441.65494,386.1888,199.40234,378.2461,449.59766,306.76172,211.3164,302.79037,362.22787,481.5013,294.71484,485.47266,362.22787,656.2409,298.6862,656.2409,350.3138,791.2669,294.71484,795.2383,0.0,1.0,1.0,1.0,1.0,0.0,1
315.55533,268.08267,327.48892,260.12695,307.5996,260.12695,347.37827,287.97202,291.68814,287.97202,379.20117,339.68423,271.79883,339.68423,442.84702,387.4186,200.19727,379.4629,450.80273,307.86133,208.153,299.9056,363.2897,494.82095,291.68814,494.82095,359.31186,657.9134,295.66602,657.9134,351.3561,793.1608,299.6439,797.1387,0.0,1.0,1.0,1.0,1.0,0.0,1
311.50912,272.1862,327.4987,272.1862,307.51172,268.1888,347.4857,292.1732,287.52475,292.1732,379.46484,344.1393,271.53516,344.1393,443.4232,388.1107,199.58203,380.11588,447.42056,308.16275,207.57683,304.16537,363.47525,488.04556,291.52213,500.03775,363.47525,663.93097,295.51953,659.9336,351.48306,795.84503,299.51694,799.84247,0.0,1.0,1.0,1.0,1.0,1.0,1
322.48502,271.32877,326.51498,271.32877,310.39517,267.29883,346.6647,299.53842,298.30533,295.50845,378.9043,351.92773,266.06577,351.92773,443.38345,384.16733,193.52669,380.13736,451.44336,311.62827,209.64648,303.56836,362.78452,509.0957,290.24545,505.06577,362.78452,666.2637,298.30533,666.2637,350.69467,803.2819,298.30533,803.2819,0.0,1.0,1.0,1.0,0.0,1.0,1
314.21353,295.26562,326.55728,291.15103,301.86978,291.15103,347.13022,315.83853,293.64062,315.83853,375.93228,369.32812,260.72397,369.32812,449.99478,385.78647,194.89062,377.55728,449.99478,307.60938,211.34895,303.49478,363.58853,521.5677,293.64062,521.5677,363.58853,682.03644,297.75522,682.03644,351.24478,817.8177,301.86978,821.9323,0.0,1.0,1.0,1.0,0.0,1.0,1
313.43686,304.74545,326.11264,296.29492,304.98633,296.29492,347.23892,325.87173,288.0853,325.87173,376.81577,376.57486,262.73373,376.57486,448.64517,385.0254,190.9043,380.80014,444.41992,308.9707,212.0306,304.74545,364.13998,537.13477,292.31055,532.9095,364.13998,693.4694,296.5358,693.4694,355.68945,824.45245,300.76108,828.67773,0.0,1.0,1.0,1.0,0.0,1.0,1
311.87173,314.7936,324.62564,310.54233,303.36914,310.54233,345.88217,340.30142,290.61523,336.05014,379.89258,387.06577,265.10742,382.81445,447.91342,387.06577,197.0866,378.56314,447.91342,310.54233,209.8405,306.29102,362.88736,544.36395,290.61523,548.61523,362.88736,701.6621,299.11783,701.6621,354.38477,837.7038,303.36914,846.20636,0.0,1.0,1.0,1.0,0.0,1.0,1
312.17642,327.89908,325.1647,323.56967,303.51758,323.56967,346.81186,345.2168,286.19986,349.54623,377.11783,392.84048,264.55273,392.84048,446.38867,388.51108,195.2819,379.8522,446.38867,310.5814,212.59961,301.92252,364.12955,557.3587,294.85873,553.0293,364.12955,713.2181,294.85873,713.2181,355.4707,847.43036,303.51758,851.75977,0.0,1.0,1.0,1.0,0.0,1.0,1
